, c51, double_q, dqn, iqn, prioritized, qrdqn, rainbow,
53, 11422.480083758483, 16645.539621016964, 13750.880367075264, 19077.648651947984, 13179.29190339901, 20102.973476785344, 68585.6015526428,
54, 11345.48583641159, 16803.09639255373, 13844.758296115844, 19342.398622657787, 13485.122323822823, 20230.65570676514, 67293.58281135124,
55, 11686.618644836186, 16920.421692530246, 13987.868685930865, 19709.009569351645, 13166.736438415686, 20052.29072355258, 69105.74252884564,
56, 12069.942977156374, 16023.619010356566, 14026.563100831492, 18894.40503226879, 13363.966109663574, 20735.891189046008, 70748.13395930023,
57, 12328.036467370843, 16426.57918655098, 14470.996015523182, 19620.13824402277, 13735.267218314466, 21020.132345449863, 70187.26031969322,
58, 12790.928826564817, 16672.218028183102, 14657.154244263173, 19642.695367102584, 14605.946221902155, 20964.074207957114, 71371.90235859477,
59, 12762.693529191958, 17417.10045057554, 14404.37162889546, 20226.465920152215, 14946.146425293948, 20900.499413196445, 70898.70513362999,
60, 12892.50359359632, 17251.39390404841, 13869.734318992234, 19640.319423091125, 15821.93299505137, 20780.947521361104, 70358.26509649945,
61, 12795.167135404277, 17848.15761040961, 13913.742085543932, 20377.13776948305, 16281.07554341169, 20930.72599939518, 70616.35531660552,
62, 12835.024098848668, 17968.22223076035, 14292.636541643344, 19701.37214563549, 17154.317483858347, 21462.930552131984, 70872.45589569831,
63, 13495.458286499115, 17991.78811052985, 14111.11605568686, 20012.47417831698, 17200.089612954216, 21997.944385222178, 71001.24400587822,
64, 13598.119675405771, 18535.489132358947, 14158.656334731457, 20749.938704725188, 17216.812654547357, 20888.933615471953, 72705.94041409611,
65, 13753.30761579965, 18117.61548509713, 14472.50575475809, 20958.081657067152, 17732.576707975757, 21757.295048547363, 73570.46868125613,
66, 14017.452028308728, 18138.010609908706, 14549.952400887876, 20352.8148044807, 17844.278356406994, 21962.76430144034, 71473.80047009737,
67, 13275.659828808557, 18149.953050095326, 14191.596680986593, 20691.1748722109, 18545.64966087545, 22226.71015733998, 73661.47712894043,
68, 13541.368359727658, 18515.025281388902, 14678.740048520476, 21871.637683276174, 18649.951673159267, 21582.961865281617, 74637.23112076313,
69, 12969.071035526666, 18183.867003775085, 14659.775171627032, 21210.371449996375, 18458.23306636161, 22380.73507599679, 74000.73601145721,
70, 13217.504533679263, 18729.42396562534, 14625.618378693936, 21295.593097647805, 18171.13575918669, 22433.470266550816, 74925.25947532084,
71, 13368.488661211808, 18709.902943558358, 14812.489208733523, 22178.754587279203, 19167.644500464172, 22535.04406632726, 74324.26983594692,
72, 14296.05998405136, 19126.01500130927, 14546.826815695302, 22148.678981922258, 19813.506668697075, 22333.977101215067, 75015.37309583668,
73, 14091.353151582476, 19607.01507350032, 14164.087464719396, 21038.595479674514, 20601.06264781286, 21553.6590607358, 74536.58309369828,
74, 14084.631398715346, 19385.039049196883, 14523.654496094392, 21346.667863982384, 20417.744875243665, 22290.038990123074, 73623.2175552356,
75, 13443.944061677044, 18753.97501376764, 14665.830874622232, 22433.103463597632, 20856.29140867698, 22825.91876201181, 74632.07545780345,
76, 13636.470325639186, 19870.421139201244, 14596.975264332777, 21867.43863525225, 21862.952029836117, 22635.788172227236, 75094.9672323708,
77, 13934.578636124852, 19398.565018911177, 14635.80889944408, 22468.096539537226, 22895.201860689354, 22681.09144555525, 75502.42277263683,
78, 14447.85015409853, 19313.855663923936, 14491.279487461798, 22528.251183872624, 24134.51080459331, 22813.634288074994, 73767.1179366125,
79, 13872.656993323262, 19909.124587191607, 14995.174854306146, 22840.71539596351, 24289.51108311365, 23197.169078026738, 76372.97325075117,
80, 14542.5563110027, 19487.210999860337, 14890.64901210563, 23037.355618799327, 25012.771413871662, 23021.35446982355, 74913.59232885999,
81, 14854.235156811226, 19458.965213472235, 15232.651900299645, 22189.664351259613, 26433.969171158504, 23681.23126303093, 76895.75585287165,
82, 14550.835784186784, 19370.6926668091, 15009.76924234648, 23519.0847444506, 27227.70665703608, 23108.785148215364, 76095.58894000498,
83, 14672.402668043953, 19487.10292019177, 15496.967877018446, 23467.709010161103, 28155.375570325046, 23460.775473258658, 75680.51250205796,
