, c51, double_q, dqn, iqn, prioritized, qrdqn, rainbow,
135, 3.799330696312637, -9.267272297034179, -9.370658616254687, 4.314827719705768, -3.1725288894357457, 3.7920116671224138, 8.74967822150749,
136, 3.6159405621519283, -9.179105927894906, -9.399085145710734, 3.703287032976489, -3.8649797807748136, 3.462770562770563, 8.742229813379291,
137, 4.276289744738021, -9.188538513732505, -9.401711537515238, 3.904031620553359, -3.354798861560681, 3.619957316259837, 8.586204943883628,
138, 4.255412126080657, -9.293767385390574, -9.445867583035076, 4.387295251310515, -3.015438596491228, 3.5243760399646575, 8.47270487527472,
139, 4.311116345614216, -9.455768414442776, -9.426083235465114, 4.474224166372099, -3.3060420098117347, 4.146626004682501, 8.643009198133118,
140, 4.007724222566852, -9.497760129869377, -9.40094995203344, 4.539474115887489, -3.036332273469505, 4.195755759593718, 8.708023535811021,
141, 3.974268796337762, -9.520504495951256, -9.413548776754633, 4.030021663614567, -2.728104654291095, 3.45518690207669, 8.729102490219505,
142, 3.636243649687542, -9.4206310110251, -9.454874951327145, 4.228065197905364, -2.2479450359334394, 3.9431746726217605, 8.851924932846412,
143, 3.431986346236981, -9.238576517776412, -9.411790319816635, 4.597238667900092, -2.154033374573994, 3.403569427771109, 8.70433440728603,
144, 3.56908505540581, -9.174912271503324, -9.391847099730976, 4.318605419425295, -2.7485645933014355, 3.3314252041953907, 8.822042572829417,
145, 4.5575244454260035, -8.985375001520053, -9.422762902564415, 4.187469904931356, -2.2963100676704604, 3.059938472039393, 8.884473715305635,
146, 3.6953008963138267, -8.91171283752219, -9.424504452436025, 4.446557925889158, -1.661448024746316, 3.6638631104615755, 8.885386555673335,
147, 3.7710850784435683, -8.862850185274786, -9.395491688655264, 4.374666725010968, -1.9132723509652856, 3.9637178778488136, 8.880091625792918,
148, 3.5338654497221405, -8.969917528371548, -9.399989363116608, 4.815624547691417, -1.9146476848574032, 3.9824082997747596, 8.86475878483841,
149, 3.996275074910222, -8.966464201214608, -9.415992176798447, 4.5329199724896325, -1.5511124509386673, 3.79629651658439, 8.794700288878191,
150, 4.883331652887007, -9.093626052632171, -9.421705060602285, 4.4402009456264775, -0.9909597105972479, 4.5201157946384765, 8.973850990084946,
151, 4.784414673980032, -8.933520839209937, -9.475953998705915, 4.6072626441881095, -0.6143314642619508, 3.945838764410193, 8.982473757142735,
152, 4.4645911843687145, -9.069472767094373, -9.441918593628955, 4.444587436373151, -1.0270499361611578, 4.368236065399538, 8.807646805185005,
153, 4.256209772931471, -8.961253407149867, -9.475529210919015, 4.348231418760505, -0.0974393530997305, 3.938838565723553, 8.824045002337257,
154, 4.178633684009602, -8.89696070817668, -9.411599642529193, 4.773494218200101, -0.611227640284244, 4.1041155415309065, 8.821528569038597,
155, 4.058191422089779, -8.837752174039574, -9.384143777040455, 4.906460624900367, -0.8710582010582012, 4.0373726763432645, 8.969469148591099,
156, 4.602073070607554, -9.059761716743463, -9.451392879575852, 4.626312402698495, -0.29111111111111115, 4.14505389848247, 8.991462675535846,
157, 4.444613457275701, -9.10873315868921, -9.451791685755513, 4.77493376437238, -0.8986868686868685, 4.115429835208829, 8.782809488584675,
158, 4.49955072497444, -9.096299190573305, -9.485199804124253, 4.872898550724638, -0.6106987554355975, 4.395980210548869, 8.784550392639428,
159, 4.5957044464660015, -8.971453432436805, -9.434724320435356, 4.761712718299567, -0.5238518967515988, 3.8419089158819615, 9.059021099496709,
160, 4.605086394113613, -8.836766711198011, -9.398369224385823, 4.613015726179464, -0.03579472889817721, 4.27591494459419, 8.978769317394319,
161, 4.408851591638477, -8.813496316451602, -9.430259826621384, 4.875697278911565, -0.13586833417672717, 3.789020461020461, 8.95150077962578,
162, 4.177639839931352, -8.713728390730417, -9.487175413400994, 4.905191928873262, -0.001711797239735202, 4.162286674790214, 8.882747257308901,
163, 4.027362848679612, -8.693081676617354, -9.42511048488343, 4.797225840690887, 0.5550938012466633, 4.390938411720154, 8.942517159589428,
164, 4.803857295142751, -8.736721060492906, -9.397479333235449, 5.117366642309098, 0.7701862351828714, 4.329612458969601, 8.951819030222637,
165, 4.931675522315396, -8.889097842280929, -9.39169936616413, 4.528019875317331, 0.857205030195388, 4.402242704037565, 8.919686381116676,
166, 4.794382183908046, -8.866935426942394, -9.419533397645862, 5.026778966199286, 1.0120621673408559, 3.7756043447620797, 8.830191029444077,
167, 5.133672925552872, -8.964344971544971, -9.43779189885823, 4.716265893744885, 0.9946783876500858, 4.093514146470968, 8.731056797110117,
168, 4.975392221864623, -9.026843505875124, -9.386088828904686, 4.612457302069764, 1.5644231791600212, 4.529783461210572, 8.914511034601583,
169, 4.381308487170556, -9.147653683615246, -9.479179075814171, 5.057125157347384, 1.4465418999901758, 4.42294710764276, 8.947519862495408,
170, 4.561587745013112, -9.05523971097158, -9.487804242723556, 4.865317549192129, 1.4853899379309217, 4.425321697804336, 8.89248680282187,
171, 4.846423840342084, -9.039765832264845, -9.398651196217475, 4.605357142857143, 1.4108481480943107, 4.20358422893152, 8.880758050517088,
172, 4.639485801768572, -8.81973686872582, -9.42883696681006, 4.519979178962555, 1.5990164859168041, 4.179500140070418, 8.86792102661668,
173, 4.526139971139971, -8.888468945902892, -9.387095862434855, 5.339670868347339, 1.665342898131468, 3.93885596411137, 8.886141784810283,
174, 4.392272923044546, -9.067636886434002, -9.394603571291507, 5.1443440366602635, 1.5378280294133824, 4.285561391975659, 9.084725541813095,
175, 4.497576479533302, -9.107133992962869, -9.415091137335025, 4.900725198546238, 1.5506782972322175, 4.635117145746063, 9.08770744177323,
